article,label,classification_multi,misclassification_type
"O NOVELÃO DA VALE – A expectativa é de que o encontro de hoje tenha mais sucesso do que o de 15 de fevereiro, quando o conselho de administração rachou e uma votação sobre a sucessão no comando terminou empatada",0,-1,0 misclassified as -1
"… Coincidindo com a queda na popularidade, o presidente disse que “vai discutir com a Câmara e o Senado esse limite de gastos e vamos ver como é que a gente pode utilizar mais dinheiro para fazer mais benefício para o povo”.",-1,0,-1 misclassified as 0
"… A meta de Haddad de zerar o déficit no ano segue como um grande desafio e um bloqueio nos gastos em março não está descartado no primeiro relatório bimestral de receitas e despesas, daqui a exatamente duas semanas.",-1,1,-1 misclassified as 1
"PEC DA AUTONOMIA FINANCEIRA DO BC – O relator, senador Plínio Valério (PSDB-AM), está otimista com a tramitação e diz que a proposta vai andar, independente das resistências enfrentadas dentro do governo.",1,-1,1 misclassified as -1
"… A PEC, apresentada em dezembro, foi defendida abertamente por Campos Neto em entrevista recente à Folha. ",1,0,1 misclassified as 0
"PAYROLL – Depois da “dramática aceleração” (como disse a Capital Economics) do emprego em dezembro e janeiro, o mercado espera uma baixada de bola na geração de vagas de trabalho e nos salários em fevereiro nos EUA.",-1,0,-1 misclassified as 0
"… O consenso é de abertura de 200 mil postos de trabalho, marcando desaceleração contra os 353 mil de janeiro. A taxa de desemprego deve se manter em 3,7% e salário médio/h deve avançar 0,2%, já longe do 0,55% de janeiro.",-1,0,-1 misclassified as 0
… Números mais amenos serão importantes para endossar a percepção de Powell de que o Fed pode não estar tão longe de cortar o juro e que não vai esperar a inflação bater na meta de 2% para iniciar o ciclo de desaperto.,-1,0,-1 misclassified as 0
"… Aqui, saem a primeira prévia de março do IPC-S (8h), as concessões de crédito livre em janeiro (8h30) e captação da poupança em fevereiro (9h), informadas pelo BC, além do fluxo nas estradas pedagiadas em fevereiro (10h).",0,-1,0 misclassified as -1
"… Segundo ele, em apenas três anos, 15 milhões de novos empregos foram criados nos EUA e a inflação caiu de 9% para 3%, tornando-se a “mais baixa do mundo”. Biden ainda prometeu reduzir déficit federal em US$ 3 trilhões.",0,-1,0 misclassified as -1
"… Para Guillen, a orientação da política monetária sobre a Selic terminal “traz mais ruído do que sinal”.",0,-1,0 misclassified as -1
"… Até aqui, o Copom mantém a sinalização no plural de pelo menos mais dois cortes de meio ponto no juro. Mas uma mudança na comunicação parece contratada, segundo a avaliação do economista André Perfeito ao Broadcast.",0,1,0 misclassified as 1
"… A pressão da inflação de serviços apressará o BC a se desobrigar de repetir a dose de queda de 0,5pp da Selic após a reunião de maio, acredita o economista, que projeta Selic terminal de um dígito (9,75%), acima do Focus (9%).",0,-1,0 misclassified as -1
"… Analistas do Citi estimam juro ainda maior no final do ciclo de relaxamento monetário, de 10%, com o Copom preferindo bancar o conservadorismo, diante do desafio do processo de levar a inflação de volta à meta de 3%.",0,-1,0 misclassified as -1
"… O resultado primário positivo de R$ 102,146 bilhões divulgado pelo BC – o maior para qualquer mês do ano – ficou acima da expectativa de R$ 98,3 bilhões.",1,-1,1 misclassified as -1
"… Acompanhando a baixa da moeda lá fora, o dólar à vista fechou em leve queda de 0,23%, a R$ 4,9337.",1,-1,1 misclassified as -1
"… Ao longo de um discurso que foi praticamente uma reprise do dia anterior na Câmara, uma mensagem de Powell se destacou na audiência no Senado: “Não estamos longe de termos confiança com a inflação para cortar juros”.",-1,0,-1 misclassified as 0
"… Powell ainda observou que os cortes “podem e começarão” este ano, acrescentando que o Fed está bem consciente dos riscos de reduzir os juros tarde demais.",-1,0,-1 misclassified as 0
"… Embora não tenha citado datas, a declaração reforçou a aposta de que o primeiro corte vem em junho.",0,-1,0 misclassified as -1
"… “Teremos poucos dados em abril, mas muitos em junho para embasar a política monetária”, disse ela, na entrevista para comentar a decisão do BCE, ontem, que reduziu as projeções de inflação.",0,1,0 misclassified as 1
"… Assim como Powell tinha feito um dia antes, Lagarde reafirmou que o corte de juros na zona do euro virá antes que a inflação bata a meta de 2%.",0,-1,0 misclassified as -1
"… No fim da tarde, o retorno da note de 2 anos caía a 4,509% (de 4,551%) e o da note de 10 anos cedia a 4,091% (4,104%). Já o juro do T-bond de 30 anos subia a 4,248% (4,233%).",0,-1,0 misclassified as -1
"… No câmbio, o índice dólar (DXY) teve queda expressiva (-0,52%) pelo 2º dia seguido, a 102,823 pontos.",0,-1,0 misclassified as -1
"… Com Lagarde descartando queda de juros em abril, o euro avançou 0,48%, a US$ 1,0951. A libra subiu 0,55%, a US$ 1,2810.",-1,0,-1 misclassified as 0
"… A expectativa de mudança em breve na política monetária de juros negativos do Japão rendeu mais um dia de forte alta do iene: +0,87%, a 162,18/US$.",0,-1,0 misclassified as -1
"… Reportagem da Folha deste domingo diz que o foco do governo, segundo interlocutores, é “dar um sinal fiscal mais forte” para que a Selic volte a um dígito pela primeira vez desde fevereiro/22 e recupere a imagem de Lula.",-1,0,-1 misclassified as 0
"… A equipe econômica considera ideal ao menos três cortes adicionais no juro, de 0,5pp cada (março, maio e junho). Mas a tentativa de garantir um ambiente propício para o Copom continuar derrubando a taxa esbarra na inflação.",-1,0,-1 misclassified as 0
"… O indicador pega o mercado sob os alertas do BC quanto aos preços dos serviços, que trazem insegurança e possivelmente estariam por trás da intenção já levantada por Galípolo e Guillen de abandonar o forward guidance.",-1,0,-1 misclassified as 0
"… A eventual mudança na linguagem prepararia o espírito do investidor para cortes menores da Selic (0,25pp) ainda neste semestre e poderia abalar a convicção de Selic terminal abaixo de dois dígitos no levantamento Focus (9%).",1,0,1 misclassified as 0
… Os rumores de mudanças nas regras do jogo esvaziaram qualquer alívio com os comentários de Prates de que os dividendos extraordinários 100% retidos em 2023 não serão utilizados para investimentos ou para pagar dívidas.,0,1,0 misclassified as 1
"… Mas o estrago na percepção do investidor está feito, abrindo uma crise de credibilidade. Sob o choque da decisão dos dividendos, os papéis da Petrobras sofreram na 6ªF uma onda de rebaixamento pelos grandes bancos (abaixo).",-1,0,-1 misclassified as 0
"… Para o BofA, a decisão da estatal de não pagar dividendos extraordinários eleva a percepção de risco na empresa, “particularmente na influência do governo em relação às principais decisões de alocação de capital”.",-1,0,-1 misclassified as 0
"… A União é o principal acionista da empresa e seria, portanto, o maior beneficiário desses montantes, o que ajudaria no equilíbrio das contas públicas.",1,0,1 misclassified as 0
"… Mas parte do conselho de administração, no qual o governo tem maioria, rejeitou a proposta de distribuição dos dividendos extraordinários, por temor de que a petroleira ficasse sem dinheiro suficiente em caixa.",0,-1,0 misclassified as -1
"VALE – No Estadão de sábado, fonte teme que a lista tríplice de possíveis sucessores para CEO seja um jogo de “cartas marcadas”. O governo Lula, representado no conselho pela Previ, tem pressionado para a troca no comando.",0,-1,0 misclassified as -1
VETOS – O Planalto adiou da semana passada para amanhã a reunião com parlamentares da Comissão Mista de Orçamento para tratar sobre o impasse em torno dos vetos feitos pelo presidente Lula à LDO de 2024.,1,0,1 misclassified as 0
"… O assunto vinha gerando pressão dos parlamentares, mas foi distensionado após o governo ceder e cumprir o calendário de pagamento de emenda que estava previsto no projeto. A decisão dos vetos só deve sair após o dia 22.",1,-1,1 misclassified as -1
… Existe o entendimento de que nada será alterado antes da publicação do relatório bimestral de receitas/despesas.,0,-1,0 misclassified as -1
"LÁ FORA – Depois de o payroll (abaixo) ter reforçado junho como o início dos cortes de juros nos EUA e sinalizado um ciclo total de 100pb de relaxamento monetário, o foco das atenções se volta para a inflação do CPI amanhã.",-1,0,-1 misclassified as 0
"… Na 5ªF, vêm o PPI e vendas no varejo. Na 6ªF, saem a produção industrial de fevereiro, o índice de atividade industrial Empire State de março e as expectativas de inflação de 1 e 5 anos medidas pela Univ. de Michigan.",-1,0,-1 misclassified as 0
O BANHO DE SANGUE – O rumor de que houve pressão direta do presidente Lula para Petrobras segurar o pagamento dos dividendos extraordinários piorou o que já não prometia ir nada bem na 6ªF na bolsa doméstica.,0,-1,0 misclassified as -1
"… Vale recuou 0,77%, a R$ 66,01, em linha com a queda de 1,13% do minério de ferro em Dalian.",-1,0,-1 misclassified as 0
"… Antes da correção das techs, as bolsas leram de forma positiva o payroll de fevereiro e chegaram a subir.",1,-1,1 misclassified as -1
"… Os EUA criaram 275 mil empregos, bem acima dos 200 mil esperados, mas dados de dezembro e janeiro foram revisados para baixo, num total de 167 mil empregos.",1,0,1 misclassified as 0
"… E, acima de tudo, o emprego cresceu com uma menor pressão de salários. O salário médio/h subiu 0,14% contra janeiro, abaixo do 0,20% esperado. Na comparação anual, houve ganho de 4,28%, inferior à previsão de 4,40%.",-1,0,-1 misclassified as 0
"… Fed boys seguiram com seus discursos conservadores. John Williams (NY) disse que o mercado de trabalho segue apertado, embora menos que no seu auge, e as expectativas de inflação têm tido um recuo modesto.",-1,0,-1 misclassified as 0
"… O resultado misto do payroll resultou em Treasuries também sem direção única. O retorno da note de 2 anos caiu a 4,482% (de 4,513%).",0,1,0 misclassified as 1
"… Diante de dados que dão razão ao Fed na falta de pressa para cortar juros, o yield da note de 10 anos subiu a 4,083% (4,077%). O do T-bond de 30 anos avançou a 4,257% (4,242%).",1,-1,1 misclassified as -1
"… A libra subiu 0,35%, a US$ 1,2855. O euro caiu 0,13%, a US$ 1,0937, sob efeito da estagnação do PIB da zona do euro no 4Tri, ante o 3Tri, que dá força ao argumento de que o BCE logo precisará cortar os juros.",0,-1,0 misclassified as -1
… Olli Rehn afirmou que o risco de cortar juros muito cedo “diminuiu significativamente” e Robert Holzmann disse que “um corte pode estar sendo preparado”.,0,-1,0 misclassified as -1
EM TEMPO… VALE aprovou convocação das Assembleias Gerais Ordinária e Extraordinária para 26/4.,0,-1,0 misclassified as -1
… Mas os sinais claros de interferência do Planalto na gestão da empresa não permitem que as ações recuperem as perdas acumuladas de 13% desde a última 5ªF. Petrobras vem caindo desde antes do balanço e da decisão sobre os dividendos.,-1,0,-1 misclassified as 0
"… A certeza de que o presidente Lula não abre mão de recuperar a política de superinvestimentos da Petrobras, confirmada na entrevista para o SBT, se mantém como fator de incerteza para o investidor, que teme por um déjà-vu do que ocorreu no governo Dilma.",-1,0,-1 misclassified as 0
"… Haddad e Silveira disseram que os dividendos extraordinários vão ficar no caixa da Petrobras, guardados em um conta remunerada, até que se tenha a certeza de que a sua distribuição não prejudique os planos de investimento da empresa.",-1,0,-1 misclassified as 0
"… A lei das S/A veda o uso desses recursos para investimentos, mas parte do governo acha que não é bem assim e busca uma brecha. No mínimo, um caixa mais robusto pode dar mais solidez aos indicadores da empresa e facilitar novos financiamentos para investir.",0,1,0 misclassified as 1
"… Só isso já é uma prova de ingerência política na companhia, assim como a fala de Lula ao SBT, afirmando que teve uma “conversa séria com a direção da Petrobras e vamos baixar o preço dos combustíveis e do gás de cozinha”.",-1,0,-1 misclassified as 0
"… Para o acumulado em 12 meses, a aposta indica desaceleração de 4,51% a 4,44%, abaixo do teto da meta (4,50%).",1,0,1 misclassified as 0
"… O BC tem chamado particular atenção para a pressão dos serviços, que devem acelerar de 0,02% para 1,08%. Em contrapartida, os preços dos serviços subjacentes, que indicam tendência, devem perder fôlego (0,76% para 0,52%).",-1,0,-1 misclassified as 0
"… O IPCA tem potencial de influência sobre as expectativas para o comunicado do Copom. O BC até aqui ainda vê como adequadas novas reduções da taxa Selic em 0,5pp nas “próximas reuniões”, no plural (março e maio).",-1,0,-1 misclassified as 0
"… Citando a dinâmica da inflação de serviços, o Itaú elevou ontem a projeção da Selic de 9,00% para 9,25%.",-1,0,-1 misclassified as 0
"… Em meio às investidas populistas para recuperar a popularidade nas pesquisas, Lula disse que encomendou ao ministro da Agricultura, Carlos Fávaro, e à Conab um conjunto de medidas para reduzir os preços dos alimentos.",0,-1,0 misclassified as -1
"META FISCAL – Técnicos do governo ouvidos pela Exame afirmaram que a equipe econômica já estimará um déficit fiscal equivalente 0,25% do PIB, ao invés de zero, no relatório bimestral de receitas e despesas, que sai dia 22.",-1,1,-1 misclassified as 1
… A previsão contraria o consenso no mercado de que a mudança na meta pode ficar para maio.,-1,0,-1 misclassified as 0
"PERSE – Governistas trabalham para que os projetos de lei que tratarão do programa emergencial ao setor de eventos sejam de autoria do Congresso, e não do Poder Executivo, de acordo com fontes ouvidas pelo Broadcast.",-1,0,-1 misclassified as 0
"… A decisão, que está sendo costurada entre líderes da base do Palácio do Planalto na Câmara, pode ser a saída para que o governo ganhe tempo até encontrar uma forma de compensar a perda arrecadatória com as medidas.",-1,0,-1 misclassified as 0
"… O comentário vem em meio a especulações de traders sobre possível elevação do juro pelo BoJ já na reunião de política monetária da semana que vem, o que colocaria um  fim ao longo período de política ultraflexível.",0,-1,0 misclassified as -1
ARGENTINA – O BC cortou o juro de 100% para 80% ao ano e anunciou que irá eliminar a taxa mínima de prazo fixo.,0,-1,0 misclassified as -1
"É DE CHORAR – Sabotadas por Lula, as ações da Petrobras embarcaram ontem numa montanha-russa e devolveram na reta final do pregão a tentativa de reação observada mais cedo contra o tombo de mais de 10% na última 6ªF.",-1,0,-1 misclassified as 0
"… O papel ON afundou 1,92% (R$ 36,27) e o PN perdeu 1,30% (R$ 35,65). Não deu para culpar o petróleo, que fechou estável. O Brent/maio subiu 0,15%, a US$ 82,21 por barril, na ICE. O WTI/abril recuou 0,10%, a US$ 77,93.",-1,0,-1 misclassified as 0
"… Vale (-3,11%; R$ 63,96) também ajudou a derrubar o índice, sentindo a queda de quase 7% no minério de ferro em Cingapura e de 5% em Dalian, com notícias de estoques que não param de crescer na China.",-1,0,-1 misclassified as 0
"… Entre os bancos, sob a polêmica renovada de ingerência política na Petrobras, BB foi novamente o único a fechar no vermelho (-1,00%; R$ 57,23). Santander unit ficou estável, a R$ 28,53. Itaú subiu 0,50% (R$ 34,27).",0,1,0 misclassified as 1
"… No lado positivo, 3R Petroleum se beneficiou da troca intrasetorial e teve a maior alta do pregão (+2,94%; R$ 29,09). PetroReconcavo subiu 1,50%, a R$ 21,69, e Prio avançou 0,34%, a R$ 44,85.",0,-1,0 misclassified as -1
"… Na contramão dos rendimentos dos Treasuries, e com certa ajuda do câmbio, os juros futuros fecharam em queda.",1,0,1 misclassified as 0
"… O retorno do DI para Jan25 caiu a 9,870% (de 9,890%); DI Jan26, a 9,700% (9,755%); Jan27, a 9,930% (9,983%); Jan29, a 10,400% (10,445%); o Jan31, a 10,650% (10,692%); e o Jan33, a 10,760% (10,806%).",1,-1,1 misclassified as -1
"… A preocupação com o cenário fiscal segurou um recuo maior, com a percepção de que o governo quer usar o aumento de arrecadação para elevar gastos.",0,1,0 misclassified as 1
"… Com o PIB maior, o Itaú reduziu a projeção de déficit primário neste ano a 0,7% do PIB (de 0,8%). Para 2025, saiu de déficit de 1% para 0,9%.",0,1,0 misclassified as 1
"PÉ NO FREIO – O setor responsável (tecnologia) pelo rali recente das bolsas em NY continuou em modo cautela ontem, antes de saber se o repique da inflação americana em janeiro foi pontual ou não.",0,1,0 misclassified as 1
"… Nasdaq teve o pior desempenho do dia: -0,41% (16.019,27 pontos). O S&P 500 caiu 0,11% (5.117,94) e o Dow Jones teve leve alta de 0,12%, aos 38.769,66 pontos.",0,-1,0 misclassified as -1
"… Nos Treasuries, a toada foi a mesma: prudência antes do CPI. Os curtos subiram mais com o mercado se posicionando para o dado.",-1,0,-1 misclassified as 0
"… As apostas num aperto aumentaram depois da revisão para cima no PIB do Japão no 4Tri23, de -0,1% para +0,1%, na margem, evitando a recessão técnica.",0,1,0 misclassified as 1
"CCR. Tráfego de veículos nas rodovias subiu 10,2% em fevereiro na comparação anual.",0,1,0 misclassified as 1
"UNIPAR informou, em resposta à CVM, que interações com eventuais parceiros para adquirir ativos nos EUA não evoluíram de forma significativa, considerando o estágio de avaliação de viabilidade de potencial transação.",0,1,0 misclassified as 1
… O documento definirá quanto será necessário bloquear de despesas para o cumprimento da meta fiscal de zerar o déficit das contas públicas em 2024 e toda e qualquer receita computada ajuda a reduzir o contingenciamento.,0,-1,0 misclassified as -1
"… Em uma decisão estratégica, a MP que atualmente revoga o Perse e reonera as prefeituras será mantida, para a equipe econômica poder contabilizar o aumento da receita previsto, apesar de que os temas serão enviados por PL.",0,1,0 misclassified as 1
"… Em entendimento com o governo, o Congresso não analisará antes do relatório bimestral o veto de Lula sobre os R$ 5,6 bi de emendas de comissão, dentro dos esforços da equipe econômica para limitar o contingenciamento.",-1,1,-1 misclassified as 1
"… Na consulta ao tribunal, o Planejamento estimou que a regra prevista na LDO limitaria o bloqueio a um valor máximo de R$ 25,9 bi, contra cerca de R$ 50 bi que o mercado estima ser necessário para o cumprimento da meta.",-1,1,-1 misclassified as 1
"… No mercado, o consenso é de que a meta fiscal zero ainda não será mudada agora e que uma alteração pode ficar para o próximo relatório bimestral, em maio, quando o governo terá maior clareza sobre a situação das contas.",-1,0,-1 misclassified as 0
"… Fica a ansiedade no ar, se Haddad vai continuar bancando a promessa e a “sobrevida” do déficit zero, diante da melhora da percepção fiscal neste início de ano, ou se a Fazenda já dará algum choque imediato de realidade.",-1,0,-1 misclassified as 0
"… Na semana passada, o Valor informou que, devido ao fato de este ser um ano eleitoral, a Fazenda vai adiar o envio do plano da reforma tributária sobre a renda, que trataria de itens como a cobrança do IR sobre os dividendos.",0,-1,0 misclassified as -1
"… Economistas não duvidam que o BC encerre o ciclo de cortes mais cedo, antes de atingir os 9%. A retirada do forward guidance seria a deixa para o Copom cortar menos em maio (0,25pp) e parar de cortar em junho ou julho.",-1,0,-1 misclassified as 0
"… Galípolo e Guillen já andaram telegrafando que o compromisso com novos cortes de 0,5pp da Selic pode ser quebrado em algum momento. Mas talvez ainda não agora, segundo a avaliação de pelo menos dois grandes bancos.",-1,0,-1 misclassified as 0
"… O mercado prevê um avanço de 0,65%, contra 0,82% em dezembro. As projeções no Broadcast vão de queda de 0,30% a alta de 1,60%. Na base anualizada, o dado deve avançar 3,60% na mediana, contra 1,36% em dezembro.",0,-1,0 misclassified as -1
"… Do lado da inflação, o IGP-10, que também sai hoje (8h), deve cair 0,34% em março, menos do que caiu em fevereiro (0,65%), diante da perda de ímpeto na deflação dos preços agropecuários ao produtor.",0,-1,0 misclassified as -1
"CAPTAÇÕES – O governo pediu ao Senado a ampliação em US$ 50 bilhões, de US$ 75 bilhões para US$ 125 bilhões, do teto estabelecido para a emissão de títulos públicos no exterior, informa o Estadão.",-1,0,-1 misclassified as 0
RÚSSIA – A vitória de Putin ao seu quinto mandato neste domingo levantou contestações pelos EUA e Ucrânia.,0,-1,0 misclassified as -1
"CENÁRIO SINGULAR – A aversão ao risco no exterior e dados surpreendentemente fortes da atividade doméstica pesaram sobre os juros, o dólar e o Ibovespa na 6ªF.",0,-1,0 misclassified as -1
"… Desde o dia anterior, quando os EUA divulgaram um PPI bem acima do esperado, investidores já estavam ajustando posições para um possível cenário de menos cortes de juros nos EUA.",0,-1,0 misclassified as -1
"… Depois de o varejo brasileiro surpreender, foi a vez de os serviços (+0,7%) ficarem acima do esperado (-0,5%) em janeiro ante dezembro. Ainda o dado de dezembro foi ajustado para cima, de alta de 0,3% para 0,7%.",0,1,0 misclassified as 1
"… Os números colocaram viés de alta nas projeções para o PIB/1Tri e para 2024 e deram mais força ao debate sobre uma mudança no forward guidance do Copom, com a substituição do plural pelo singular nas “próximas reuniões”.",0,1,0 misclassified as 1
"… Caso a atividade continue a surpreender, a visão de quem está vendo a Selic abaixo do consenso do mercado, de 9,0% pode mudar.",0,-1,0 misclassified as -1
"… O dólar acompanhou o clima ruim lá fora e testou mais uma vez o teto dos R$ 5 na máxima do dia (R$ 5,0016). Mas depois a pressão diminuiu com a expectativa de um Copom mais conservador, o que favoreceria o carry trade.",-1,1,-1 misclassified as 1
"… As declarações do ex-conselheiro da empresa José Luciano Duarte Penido, de que há interferência política no processo de sucessão de Eduardo Bartolomeo, continuaram a pesar.",-1,0,-1 misclassified as 0
"… Na semana, o Brent subiu 3,97%, o WTI teve alta de 3,88%.",-1,0,-1 misclassified as 0
"… Casas Bahia caiu 7,63% (R$ 7,40) e Lojas Renner baixou 6,72% (R$ 15,40).",0,-1,0 misclassified as -1
"À ESPERA DOS PONTOS DO FED – A percepção de que o Fed pode indicar ritmo menor no corte de juros na semana continuou a pressionar as bolsas em NY na 6ªF, assim como abasteceu nova rodada de alta nos juros dos Treasuries.",0,-1,0 misclassified as -1
"… Mas o dado de janeiro foi revisado de -0,1% para -0,5%.",0,-1,0 misclassified as -1
"… Enquanto isso, a leitura preliminar do índice de sentimento do consumidor dos EUA caiu de 76,9 em fevereiro para 76,5 em março, contra uma expectativa de avanço a 77,4.",0,-1,0 misclassified as -1
"… As expectativas de inflação, que vinham caindo, ficaram no mesmo lugar. Em 12 meses, seguiram em 3,0% e, para cinco anos, em 2,9%.",0,-1,0 misclassified as -1
"… Para a Lombard Odier Asset, no geral, os dados apontam para uma economia mais fraca, enquanto os preços desaceleram a um ritmo mais lento. Nos últimos dias, porém, o mercado preferiu “abraçar a narrativa da inflação”.",0,-1,0 misclassified as -1
"… Em NY, sob o peso da alta dos retornos dos Treasuries, as techs recuaram e o Nasdaq perdeu 0,96% (15.973,17 pontos). O Dow Jones caiu 0,49% (38.714,77) e o S&P 500 recuou 0,65% (5.117,09).",0,-1,0 misclassified as -1
"… Nos Treasuries, o juro da note de 2 anos avançou a 4,732% (4,706%) e o da note de 10 anos subiu a 4,313%, de 4,296%. O do T-bond de 30 anos caiu a 4,4303% (4,4342%).",1,-1,1 misclassified as -1
"VALE. Novo presidente, que substituirá Eduardo Bartolomeo em 2025, poderá ser ligado a acionistas representativos da mineradora…",1,0,1 misclassified as 0
"… A receita líquida do varejo recuou 41,5%, para R$ 409 milhões, e o Ebitda do varejo pro-forma foi negativo em R$ 34,8 milhões ante resultado positivo de R$ 24 milhões um ano antes.",0,1,0 misclassified as 1
"AÉREAS. Governo está revendo a proposta de socorro e discute uma agenda para o setor, que pode envolver crédito para investimentos sustentáveis e mudanças regulatórias para diminuir o grau de judicialização e abrir o mercado interno a companhias estrangeiras…",0,1,0 misclassified as 1
"INSPIRA. Segunda maior rede de educação básica do Brasil, recebeu um investimento de R$ 1 bilhão do Advent, fundo americano de private equity, antes de uma oferta inicial de ações (IPO).",0,1,0 misclassified as 1
